Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Richard Fisher,East Robert,Backend Developer,JavaScript,Microsoft Azure Fundamentals,51,14,126,8,1651
Christopher Salinas,Ferrellfurt,Backend Developer,C#,Cisco CCNA,48,24,55,6,3116
Ashley Martin,West Tara,Data Scientist,JavaScript,Certified Ethical Hacker,37,10,68,10,5435
Erica Pena,Lake Thomasland,Cloud Architect,C#,AWS Certified Developer,22,0,124,0,7369
Tyler Sellers,Denniston,Database Administrator,Kotlin,PMI-ACP,53,33,62,0,988
Travis Russo,Darylberg,Cybersecurity Specialist,Java,Certified Ethical Hacker,49,5,80,5,4539
Debra Sandoval,North Teresaville,AI/ML Engineer,Swift,Oracle Certified Professional,32,4,94,2,3788
James Williams,Lake Bobby,Backend Developer,Ruby,Google Cloud Engineer,31,3,72,0,1619
Cathy Reynolds,West Toni,Data Scientist,Java,Certified Scrum Master,60,36,83,6,7032
Nichole Anthony,Velezhaven,Cybersecurity Specialist,Swift,Certified Scrum Master,29,5,23,10,5909
Jessica Frank,New Kimberly,Cybersecurity Specialist,JavaScript,Google Cloud Engineer,26,1,97,5,4008
Robyn Davis,North Brianshire,Database Administrator,Python,Google Cloud Engineer,47,8,71,8,6787
Elizabeth Gallagher MD,Cartermouth,Frontend Developer,C#,Oracle Certified Professional,52,32,46,2,6364
Nathaniel Mathews,Hoganport,Cybersecurity Specialist,Ruby,PMI-ACP,47,3,137,9,4138
Sara Griffin,Larryview,Frontend Developer,Python,AWS Certified Solutions Architect,23,2,99,5,7176
Brandon Richards,West Mirandamouth,Frontend Developer,TypeScript,Google Cloud Engineer,27,5,46,4,5050
Kevin Long,Brittneyhaven,AI/ML Engineer,TypeScript,AWS Certified Solutions Architect,53,29,92,3,1643
Kathy Zamora,Jacquelinefurt,Cloud Architect,Python,Certified Scrum Master,53,33,0,9,4600
Brooke Clark,Lake Annette,Backend Developer,Java,Cisco CCNA,43,15,128,8,1689
Jeremy Garcia DDS,West Melissaside,Cybersecurity Specialist,Java,Cisco CCNA,50,29,86,5,1919
Randy Pugh,Hawkinsview,AI/ML Engineer,Python,PMI-ACP,40,16,1,1,3830
Nicholas Santiago,North Cassidy,DevOps Engineer,PHP,AWS Certified Developer,28,5,3,7,1426
Elizabeth Freeman,Hodgesview,Cloud Architect,Python,Google Cloud Engineer,40,4,29,1,4488
Andre Simon,Ruthmouth,DevOps Engineer,TypeScript,Microsoft Azure Fundamentals,41,4,20,1,4931
Krista Thompson,Phillipsbury,Cybersecurity Specialist,Kotlin,CompTIA Security+,28,0,107,6,5882
Gary King,Lake Robert,AI/ML Engineer,JavaScript,Oracle Certified Professional,53,32,126,2,7035
Angela King,West Carol,Database Administrator,JavaScript,PMI-ACP,30,5,140,7,5884
Juan Goodwin,South Williamstad,QA Tester,PHP,AWS Certified Developer,37,14,104,6,1130
Richard Costa,West Davidchester,AI/ML Engineer,PHP,Microsoft Azure Fundamentals,58,28,120,10,4131
Vicki Mullen,East Joseph,Cloud Architect,Swift,PMI-ACP,57,7,26,2,4963
Tina Todd,East Emily,Cloud Architect,Java,CompTIA Security+,45,9,35,2,3020
Angela Lewis,Lisaland,Data Scientist,Go,Certified Ethical Hacker,57,0,48,6,7247
Jeffrey West,Chloeburgh,Database Administrator,Java,Google Cloud Engineer,41,14,43,1,5035
Benjamin Ortiz,Deniseport,QA Tester,Swift,Oracle Certified Professional,60,26,7,0,2172
Joshua Williams,Oliverland,Cybersecurity Specialist,Go,Certified Ethical Hacker,34,13,150,6,7270
Desiree Duarte,Noahchester,Cybersecurity Specialist,Ruby,Certified Ethical Hacker,51,7,83,5,3693
Lisa Johnson,Deanshire,Mobile Developer,C#,AWS Certified Solutions Architect,35,1,24,5,5845
Susan Harris,Williamborough,Cloud Architect,C#,Microsoft Azure Fundamentals,58,32,150,10,7671
Whitney Walters,Millerland,Cloud Architect,C#,AWS Certified Solutions Architect,55,26,117,0,2527
Claudia Simpson,Laurenview,Backend Developer,Go,Google Cloud Engineer,46,17,38,9,5028
Ronald Leon,Michaelport,AI/ML Engineer,TypeScript,Cisco CCNA,51,19,59,10,6325
Jamie Anderson,North Erinside,AI/ML Engineer,Kotlin,Certified Scrum Master,44,14,105,2,3743
Kimberly Atkins,East Kelly,AI/ML Engineer,Python,Microsoft Azure Fundamentals,24,2,108,5,6894
Amanda Brown,Bradleyhaven,Cybersecurity Specialist,Python,Microsoft Azure Fundamentals,49,0,102,2,4654
Cindy Berry,Carterberg,Frontend Developer,Kotlin,Microsoft Azure Fundamentals,55,34,124,3,7455
James Morris,Jamiemouth,AI/ML Engineer,Python,Cisco CCNA,38,2,1,4,2062
Jennifer Novak,Starkmouth,Cybersecurity Specialist,Kotlin,PMI-ACP,60,30,42,7,3544
Patrick Martin,East Renee,Cloud Architect,C#,Certified Ethical Hacker,36,15,138,1,4015
Duane Hodges,South Jennyshire,Frontend Developer,JavaScript,Microsoft Azure Fundamentals,58,3,105,6,3109
Jesse Reed,Pennyberg,QA Tester,PHP,Certified Scrum Master,44,24,104,9,1996
Brandon Russell,West Jessica,Data Scientist,Python,Oracle Certified Professional,39,12,114,9,4725
Eric Rivera,Morrisside,Data Scientist,Python,PMI-ACP,60,33,6,6,5720
Adam Johnson,New Melissa,Cybersecurity Specialist,Ruby,PMI-ACP,56,6,131,7,6427
Todd Clark,Thomasview,QA Tester,C#,AWS Certified Developer,36,12,114,9,7777
Michael Peterson,Ericview,Frontend Developer,Kotlin,Cisco CCNA,32,9,79,0,1911
Derek White,Port Victoria,Cybersecurity Specialist,JavaScript,Google Cloud Engineer,31,0,138,8,6003
Dr. Cathy Arnold,Meganhaven,DevOps Engineer,Go,Certified Scrum Master,44,17,122,5,5373
Elizabeth Carroll,East Jenniferton,DevOps Engineer,Go,Oracle Certified Professional,35,5,127,8,1933
Andrew Howard,Patrickhaven,Backend Developer,C#,CompTIA Security+,58,10,14,2,2632
Stacey Ware,Claytonborough,AI/ML Engineer,Kotlin,PMI-ACP,56,6,38,1,3928
Cindy Martin,West Josephland,Cloud Architect,Python,Microsoft Azure Fundamentals,41,5,35,0,4000
Samantha Giles,New Michael,AI/ML Engineer,PHP,Certified Scrum Master,35,6,95,9,7892
Alex Kirby,South Jeffreymouth,Backend Developer,Java,Google Cloud Engineer,40,16,110,4,2242
Jason Taylor,Thomasberg,Cybersecurity Specialist,Python,PMI-ACP,44,0,56,0,6467
Carol Green,Nicholsside,Cybersecurity Specialist,Swift,Oracle Certified Professional,59,13,133,8,1316
Paul Daniels PhD,Fitzpatricktown,Cybersecurity Specialist,TypeScript,Cisco CCNA,31,9,52,9,4349
Timothy Robinson,Frederickhaven,Frontend Developer,Kotlin,Cisco CCNA,54,19,81,5,3337
Parker Wilson,Gibsonview,Cybersecurity Specialist,Kotlin,Certified Ethical Hacker,36,12,38,5,6122
Erin Franklin,Lucasborough,AI/ML Engineer,JavaScript,PMI-ACP,41,17,120,8,4812
Jesus Harris,West Elizabeth,Database Administrator,Python,Microsoft Azure Fundamentals,45,20,33,0,7114
Kendra Hill,Webbchester,Frontend Developer,TypeScript,PMI-ACP,51,0,35,9,4866
Tamara Allen,Lake Alexismouth,DevOps Engineer,Java,Microsoft Azure Fundamentals,28,4,60,0,4586
Scott Wheeler,Jamesburgh,AI/ML Engineer,JavaScript,Certified Scrum Master,29,7,140,9,2501
Susan Morrow,Warnerville,Data Scientist,JavaScript,Cisco CCNA,25,3,119,9,5591
Raymond Horn,Santiagofurt,Data Scientist,TypeScript,Cisco CCNA,23,1,58,8,1194
Jordan Price,Port Cody,Frontend Developer,C#,PMI-ACP,46,4,150,9,7485
Darren Greene,East Valerieland,Backend Developer,PHP,Microsoft Azure Fundamentals,52,22,26,1,5397
Morgan Martinez,Alvarezfurt,Database Administrator,TypeScript,CompTIA Security+,30,3,35,2,2840
Jennifer Potter,Leslieview,QA Tester,Kotlin,CompTIA Security+,59,9,144,4,4508
Elaine Price,New Sabrinashire,QA Tester,TypeScript,Certified Scrum Master,22,2,112,10,6761
Thomas Green,North Ericville,Cloud Architect,C#,Microsoft Azure Fundamentals,36,4,123,4,5185
Michael Ruiz,Richardsshire,Frontend Developer,Swift,Google Cloud Engineer,25,2,72,9,7922
Kathleen Perez PhD,East Christietown,Mobile Developer,JavaScript,PMI-ACP,22,0,110,2,6912
Norman Ryan,Port Bryan,AI/ML Engineer,Java,Certified Ethical Hacker,40,16,150,3,6430
John Moody,Timothyhaven,AI/ML Engineer,C#,Certified Scrum Master,51,28,50,10,5832
Christine Buck,Kathrynchester,Mobile Developer,Swift,CompTIA Security+,35,6,148,5,848
Christine Barrett,New Andrewside,QA Tester,C#,PMI-ACP,46,20,39,10,1233
Dave Newton,Hudsonside,Backend Developer,Java,Certified Scrum Master,32,4,16,10,7099
Willie Williams,New Paige,Data Scientist,Python,PMI-ACP,60,34,79,1,1994
Joseph Lee,West Ashleyhaven,AI/ML Engineer,TypeScript,Certified Scrum Master,33,4,77,10,4945
Barry Odom,East Lindahaven,QA Tester,Go,AWS Certified Developer,46,16,91,4,975
Jared Wilson,Nicholsbury,Data Scientist,Go,PMI-ACP,59,10,123,6,5469
Tammy Davies,Russellside,Cloud Architect,Kotlin,CompTIA Security+,49,6,148,2,6502
Mrs. Alexandra Kelly,Williamsport,AI/ML Engineer,Swift,Microsoft Azure Fundamentals,37,17,136,7,4572
William Hicks,Benjaminport,AI/ML Engineer,Go,Google Cloud Engineer,29,6,7,7,6464
David Carson,East Brendamouth,Backend Developer,PHP,Certified Ethical Hacker,46,25,1,9,7820
Nicholas Parker,Timothymouth,AI/ML Engineer,C#,PMI-ACP,49,29,121,2,6695
Michael Chung,West Peter,Database Administrator,PHP,Certified Ethical Hacker,36,16,29,3,5132
Luis Wade,Duncanburgh,Cybersecurity Specialist,Java,Microsoft Azure Fundamentals,27,3,85,10,1096
David Powell,East Michaelborough,Cloud Architect,Swift,Microsoft Azure Fundamentals,41,13,89,0,1214
Brandy Solomon,Robertfort,Mobile Developer,Python,Certified Ethical Hacker,44,8,56,5,2030
Loretta Sharp MD,South Samanthaport,Backend Developer,Java,Certified Ethical Hacker,24,2,36,3,1578
Denise Russell,Jimmymouth,QA Tester,Java,CompTIA Security+,36,13,48,9,7074
Jennifer Ramirez,North Nicolehaven,QA Tester,JavaScript,Cisco CCNA,54,30,109,7,3795
Martin Waters,New Traciville,Cybersecurity Specialist,PHP,PMI-ACP,36,12,148,5,5857
David Hall,Bethport,Database Administrator,JavaScript,Certified Scrum Master,32,4,63,9,3114
John Peck,Parkerburgh,Cybersecurity Specialist,Swift,CompTIA Security+,40,5,114,10,3660
Debra Carroll,North Timothy,Cybersecurity Specialist,TypeScript,CompTIA Security+,46,0,49,4,5848
Yvette Crawford,North Alexandrafort,Frontend Developer,TypeScript,AWS Certified Developer,58,15,8,1,3178
Peter Park,Suzannefort,Cybersecurity Specialist,PHP,Certified Scrum Master,35,8,94,10,3269
John Richards,South Stephanieshire,Mobile Developer,Go,Microsoft Azure Fundamentals,24,1,120,9,2132
Sara Marsh,Roweville,QA Tester,Python,Oracle Certified Professional,47,9,133,6,2058
Daniel Lozano,North Cynthia,AI/ML Engineer,Ruby,Certified Scrum Master,22,0,110,3,6987
Jason Wilson,North Edward,Frontend Developer,Go,PMI-ACP,36,7,42,5,3609
Kelly Carpenter,Martinezstad,QA Tester,Python,PMI-ACP,54,17,36,9,2300
Brandy Rodriguez,Rowetown,Mobile Developer,Kotlin,Certified Ethical Hacker,51,16,134,10,6627
Austin Robinson,Port Crystalview,QA Tester,TypeScript,Microsoft Azure Fundamentals,49,21,31,0,1810
James Hampton,Davisfort,Cybersecurity Specialist,Go,Cisco CCNA,29,7,80,8,3449
Gabriel Mack,South Yvette,Data Scientist,Java,Google Cloud Engineer,43,4,134,10,1308
Deborah Martin,Davidland,DevOps Engineer,Python,Certified Scrum Master,52,32,80,3,4559
Devin Smith,Keithfort,Mobile Developer,C#,Google Cloud Engineer,60,26,80,10,2420
Tammy Alvarez,Phillipsstad,Mobile Developer,Java,Microsoft Azure Fundamentals,30,6,25,3,7574
Allen Lewis,North Carrie,Database Administrator,JavaScript,CompTIA Security+,59,32,25,4,4532
Leslie Miles,Moorebury,Database Administrator,Python,Cisco CCNA,38,15,125,9,5733
Miss Janice Clayton DDS,Brendaland,Backend Developer,Go,Microsoft Azure Fundamentals,53,26,25,10,3180
Kevin Brown,Lake Michaelburgh,QA Tester,TypeScript,AWS Certified Solutions Architect,50,7,75,5,7982
Michelle Owens,North Martha,DevOps Engineer,Ruby,CompTIA Security+,43,6,127,7,1428
Anthony Williams,Hernandeztown,Cybersecurity Specialist,Go,CompTIA Security+,59,10,14,0,6385
Mary Sullivan,Port Paultown,Mobile Developer,C#,CompTIA Security+,39,13,46,8,2829
David Martinez,East Beth,AI/ML Engineer,Ruby,Certified Ethical Hacker,22,2,117,8,2578
Steven Burke,Martinshire,Frontend Developer,C#,Certified Ethical Hacker,58,27,129,7,1532
Michael Collins,Annettechester,Frontend Developer,Go,Cisco CCNA,57,27,126,3,3027
Sara Salazar,Patrickmouth,Mobile Developer,C#,Microsoft Azure Fundamentals,42,8,95,0,2707
Rachel Howard,New Charlesstad,AI/ML Engineer,TypeScript,Google Cloud Engineer,23,2,94,9,4303
Jeremy Hayden,New Rachel,Database Administrator,Kotlin,Oracle Certified Professional,36,3,19,0,4252
Jacob Moore,New Latasha,DevOps Engineer,Ruby,Google Cloud Engineer,38,10,131,3,2353
Justin Hebert,South Troy,Cybersecurity Specialist,Ruby,Cisco CCNA,41,9,49,1,5204
James Lin,North Claytonport,Data Scientist,Ruby,Cisco CCNA,55,16,59,1,7498
Hannah Floyd,New Johnborough,Data Scientist,Go,Cisco CCNA,39,12,15,7,7717
Dustin Rivera,Michaelland,Cloud Architect,Python,Oracle Certified Professional,50,20,25,0,3251
William Rice,East Jessica,Frontend Developer,Java,AWS Certified Solutions Architect,35,13,150,4,7320
Michelle Dodson,New Kevinborough,AI/ML Engineer,Ruby,AWS Certified Developer,50,14,94,7,6355
Sarah Hendrix,Rodriguezmouth,DevOps Engineer,C#,Microsoft Azure Fundamentals,47,22,135,10,1126
Justin George,East Brent,Mobile Developer,Ruby,PMI-ACP,39,17,117,3,5417
Zachary Rodriguez,Ericksonfurt,Data Scientist,C#,Oracle Certified Professional,47,3,136,9,7822
Justin Rodriguez,Holmesview,DevOps Engineer,TypeScript,CompTIA Security+,36,9,47,7,2202
Haley Griffin,North Beth,Frontend Developer,Go,Oracle Certified Professional,26,0,46,2,1061
Natalie Thompson,Hallburgh,Backend Developer,Kotlin,CompTIA Security+,38,9,114,10,1030
John Howard,Melissastad,Frontend Developer,Python,Certified Ethical Hacker,59,33,104,2,4092
Tracy Maldonado,New Cheryl,Frontend Developer,Ruby,Google Cloud Engineer,59,33,129,3,4794
Jonathan Murillo,Barneston,DevOps Engineer,Kotlin,AWS Certified Developer,38,11,42,3,4989
Joshua Anderson,Andersonfort,Mobile Developer,C#,AWS Certified Solutions Architect,26,4,124,6,2677
Michele Hatfield,Travisfort,Cybersecurity Specialist,Go,AWS Certified Developer,38,4,139,1,2728
Gail Cruz,Lake Amberville,Frontend Developer,Go,AWS Certified Solutions Architect,28,2,125,8,2342
Tabitha King,North Joshua,Frontend Developer,Python,AWS Certified Developer,46,2,64,6,6034
Sarah Barr,South Erikburgh,Frontend Developer,TypeScript,Oracle Certified Professional,50,1,71,2,2107
Katrina Webster,Williamsland,Cloud Architect,PHP,PMI-ACP,31,9,9,5,3222
Timothy Bell,East Sallyport,Cloud Architect,C#,Cisco CCNA,53,20,20,5,4080
Melissa Morton,Craigmouth,QA Tester,Swift,PMI-ACP,54,24,129,5,3482
Crystal Roach MD,Davistown,Cloud Architect,Swift,PMI-ACP,60,14,148,7,5450
Monica Leonard,North Beth,Database Administrator,Java,Certified Ethical Hacker,57,1,137,4,5512
Richard Smith,Chelseaside,AI/ML Engineer,TypeScript,AWS Certified Solutions Architect,29,5,76,7,2354
Shane Andersen,East Jacob,Database Administrator,Java,Certified Scrum Master,33,8,104,5,5777
Natalie Johnston,Johnfort,QA Tester,Java,PMI-ACP,46,24,84,5,3899
Jennifer Garcia,West Sarah,Mobile Developer,Go,Google Cloud Engineer,27,2,48,0,6608
Gary Bowen,New Michaelahaven,DevOps Engineer,Python,AWS Certified Solutions Architect,33,6,109,2,7850
Susan Myers,West Wendy,Mobile Developer,Python,Google Cloud Engineer,53,16,85,0,2795
Rebecca Smith,West Jackland,DevOps Engineer,Kotlin,AWS Certified Solutions Architect,36,4,38,3,6566
Debra Mathis,New William,Mobile Developer,Swift,Oracle Certified Professional,50,29,8,0,3721
Mr. Alec Kelly,North Harryside,Cloud Architect,Ruby,AWS Certified Developer,31,7,29,9,5937
Martha Gross,Walkerville,Data Scientist,Python,PMI-ACP,31,1,146,5,1593
Mrs. Kimberly Lopez DDS,Smithberg,Database Administrator,TypeScript,Microsoft Azure Fundamentals,53,1,51,0,2202
Hunter Brennan,New Veronicastad,Backend Developer,C#,AWS Certified Developer,24,1,45,10,2288
Terry Johnson,East Kristiborough,Mobile Developer,PHP,Cisco CCNA,30,5,86,5,7769
Justin Taylor,Brownburgh,Cybersecurity Specialist,PHP,Certified Scrum Master,50,0,33,9,5914
Sydney Jennings,Randolphland,Cybersecurity Specialist,PHP,Oracle Certified Professional,60,12,98,7,5038
Juan Lopez,Lake David,Frontend Developer,C#,Certified Ethical Hacker,33,4,16,10,1119
Katelyn Ayala,West Cheryltown,Cybersecurity Specialist,Ruby,Microsoft Azure Fundamentals,53,7,123,7,1829
Kevin Larson,Angelaside,Mobile Developer,PHP,Certified Scrum Master,29,1,45,10,7068
Debbie Mcdonald,Perezberg,Database Administrator,Java,CompTIA Security+,44,23,73,8,2474
Dalton Morris,Port Melanie,Data Scientist,JavaScript,PMI-ACP,55,29,87,10,5440
Adam Rhodes,West Michaelchester,Data Scientist,Swift,AWS Certified Developer,35,11,129,2,6980
Brian Hurley,East Spencer,Data Scientist,Swift,Microsoft Azure Fundamentals,46,14,119,3,6555
Crystal Weiss,Michaelfurt,DevOps Engineer,PHP,Certified Ethical Hacker,45,10,93,4,5461
Danielle Flowers,Johnsonhaven,AI/ML Engineer,TypeScript,Oracle Certified Professional,57,17,18,5,1579
Pamela Bell,New Kimberly,QA Tester,Java,Google Cloud Engineer,50,3,148,9,6569
Jamie Bailey,West Victoriabury,Cloud Architect,Python,PMI-ACP,42,14,16,5,2795
Christina Robinson,West Adrienne,Cybersecurity Specialist,Swift,Oracle Certified Professional,37,17,70,6,4777
Lauren Forbes,Melissamouth,Database Administrator,Go,Cisco CCNA,55,11,59,1,7850
Gary Butler,South Thomasmouth,Mobile Developer,JavaScript,AWS Certified Developer,40,5,54,0,4974
Benjamin Taylor,Lake Saraburgh,Database Administrator,Go,Cisco CCNA,26,0,43,5,3277
Caleb Krause,East Michael,Cloud Architect,Go,Google Cloud Engineer,60,10,131,5,6779
Crystal Grimes,Lewisbury,Data Scientist,Swift,Oracle Certified Professional,31,0,85,0,7081
Luis Martinez,Port Gracehaven,Data Scientist,C#,AWS Certified Solutions Architect,57,37,128,7,1619
Lee Mahoney,New Lisa,Database Administrator,PHP,Certified Scrum Master,57,24,72,2,3052
Michelle Green,Lake Kimberly,Database Administrator,C#,Cisco CCNA,53,22,70,1,1145
Jasmine Li,North Joanna,QA Tester,Go,CompTIA Security+,52,17,133,6,3260
Kevin Hall,East Tracyfurt,Frontend Developer,Java,PMI-ACP,59,17,142,3,4318
Sarah Ayers MD,New Melaniechester,Database Administrator,Kotlin,CompTIA Security+,39,9,37,0,4844
Kyle Love,Heathville,Frontend Developer,JavaScript,AWS Certified Developer,52,14,5,5,6269
Rachel Reed,East Jeffreystad,Frontend Developer,Java,Microsoft Azure Fundamentals,50,22,135,3,1849
Jessica Robertson,Lake Annette,Frontend Developer,C#,Cisco CCNA,38,9,36,1,6308
Susan Anderson,Normanmouth,Mobile Developer,Ruby,Certified Ethical Hacker,57,5,110,3,3674
Joy Clark,North Leslie,Mobile Developer,Ruby,Oracle Certified Professional,40,9,101,4,2435
Tyler Murphy,Tinashire,Data Scientist,Ruby,Certified Scrum Master,44,19,7,7,2540
Jose Roach,New Brooke,Cybersecurity Specialist,Ruby,Certified Scrum Master,46,24,107,4,6167
Anthony Ryan,Sarahton,QA Tester,Kotlin,Cisco CCNA,25,5,111,1,5674
Charles Rodgers,Marquezland,AI/ML Engineer,C#,Certified Ethical Hacker,38,13,30,10,1378
Erin Baird,West Catherinefurt,Data Scientist,Go,PMI-ACP,34,5,131,4,1629
Michael Wells,Lake Samuelmouth,Data Scientist,Ruby,AWS Certified Developer,52,5,48,0,1524
Mrs. Isabella Strickland,Lake Brenda,Cybersecurity Specialist,Ruby,AWS Certified Solutions Architect,27,7,77,4,7137
Chad Johnston,Port Samuelburgh,Mobile Developer,PHP,Microsoft Azure Fundamentals,34,3,49,9,4508
Steven Fields,Washingtonhaven,Cybersecurity Specialist,Ruby,Certified Ethical Hacker,51,24,106,5,6319
Isaac Stanley,Frederickside,Backend Developer,Swift,AWS Certified Developer,52,16,23,2,1607
Taylor Ramirez,West Jaredton,Cloud Architect,PHP,Microsoft Azure Fundamentals,54,7,35,2,6320
Stephen Brooks,Billberg,Frontend Developer,Java,CompTIA Security+,52,26,13,6,6405
Kathleen Golden,Port Kathleenmouth,Cybersecurity Specialist,PHP,Cisco CCNA,48,5,100,0,1678
Matthew Hunter,East Davidchester,AI/ML Engineer,C#,Certified Scrum Master,22,0,59,5,3350
Daniel Miller,Reneeland,AI/ML Engineer,Ruby,CompTIA Security+,51,16,20,10,2166
Sylvia Flores,East Susan,Frontend Developer,Go,PMI-ACP,29,6,0,10,3876
Ashley Love,Millerton,Frontend Developer,JavaScript,Certified Ethical Hacker,23,1,101,3,3705
Scott Kennedy,Briannastad,Cybersecurity Specialist,TypeScript,CompTIA Security+,41,11,149,10,7585
John Rose,Riversside,Backend Developer,Kotlin,PMI-ACP,59,1,4,4,1667
Wendy Mcknight,East Dawn,Data Scientist,Go,Google Cloud Engineer,28,5,98,3,4262
Stephen Sanchez,Hopkinsland,DevOps Engineer,Ruby,Oracle Certified Professional,35,7,124,6,1820
John Ray,Williamsshire,Cybersecurity Specialist,TypeScript,Oracle Certified Professional,25,5,106,10,5451
Frank Sparks,Grahamland,Data Scientist,Java,Certified Scrum Master,55,9,31,10,5968
Mary Dominguez,West Anthony,Data Scientist,PHP,Oracle Certified Professional,45,25,19,9,5925
Julie Wilson,Jeremyport,Database Administrator,Swift,AWS Certified Developer,22,0,56,0,5173
Adam Martin,Greenborough,Data Scientist,Ruby,Certified Ethical Hacker,26,5,60,7,3901
Stephen Barnes,Lake Christopher,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,50,24,147,3,1311
Brooke Vega,Thomasside,Backend Developer,PHP,Microsoft Azure Fundamentals,24,4,71,1,4274
Travis Williams,South Paige,DevOps Engineer,Java,Oracle Certified Professional,32,1,116,4,4277
Billy Durham,Joannmouth,Mobile Developer,C#,AWS Certified Solutions Architect,36,1,41,1,6813
Jessica Butler,East Spencermouth,QA Tester,Swift,Oracle Certified Professional,45,11,103,2,6023
Dr. Cassandra Jefferson,New Leslieport,AI/ML Engineer,Python,AWS Certified Developer,30,1,5,5,6616
Michael Vaughn,Lake Scottside,Mobile Developer,Python,PMI-ACP,37,10,81,7,837
Joshua Jones,North Alexandratown,Frontend Developer,Java,CompTIA Security+,31,11,50,9,3276
Vicki Norris,Thorntonhaven,AI/ML Engineer,Java,CompTIA Security+,35,8,7,1,7828
Jason Gardner,East Jeffery,Database Administrator,Go,PMI-ACP,27,2,51,10,4189
Cheryl Brown,North Stephanieland,Cybersecurity Specialist,C#,CompTIA Security+,24,1,79,0,4998
Debbie Sherman,Brittneyside,Cloud Architect,TypeScript,Oracle Certified Professional,52,31,78,9,7648
Kristina Washington MD,Port Scott,Data Scientist,TypeScript,AWS Certified Solutions Architect,24,3,47,7,3964
Jeffrey Ferrell,North Philip,DevOps Engineer,TypeScript,Oracle Certified Professional,35,6,53,0,2103
Michael Gill,Jacobsshire,AI/ML Engineer,JavaScript,Certified Ethical Hacker,33,3,116,10,3750
Casey Campbell,Davidborough,AI/ML Engineer,Kotlin,Oracle Certified Professional,24,4,45,1,1051
Mary Jones,Lindseymouth,Mobile Developer,TypeScript,AWS Certified Developer,37,3,121,10,7351
Mitchell Rush,South Jamieland,AI/ML Engineer,JavaScript,Certified Ethical Hacker,40,6,105,5,7791
Allen Obrien,West Denise,Mobile Developer,Java,AWS Certified Solutions Architect,31,11,62,10,3196
Savannah Raymond,East Karenburgh,Cloud Architect,TypeScript,Certified Ethical Hacker,44,23,134,9,6171
Scott Stanton,Davidfort,Cloud Architect,Python,Cisco CCNA,22,1,98,10,3778
Tonya Collins,East Mariashire,Frontend Developer,Kotlin,Microsoft Azure Fundamentals,23,2,4,4,5665
Savannah Gibson,Yangshire,AI/ML Engineer,Swift,Google Cloud Engineer,51,13,135,9,7169
Tanner Martin,Tammieberg,Frontend Developer,Kotlin,AWS Certified Solutions Architect,39,2,54,10,4171
Valerie Davis,Jamesburgh,Database Administrator,PHP,PMI-ACP,23,3,72,5,2981
Ethan King,West Donald,Frontend Developer,Ruby,PMI-ACP,47,6,54,1,3514
Ryan Hardy,South Tonystad,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,51,30,66,1,3984
Brian Morse,Marksport,Frontend Developer,PHP,CompTIA Security+,31,0,78,9,3377
Casey Griffin,Robertview,Data Scientist,Ruby,PMI-ACP,26,4,41,3,1061
Robert Dean,Sherryhaven,DevOps Engineer,Swift,CompTIA Security+,30,0,135,7,2599
Mary Garrison,East Amberfort,Cybersecurity Specialist,Swift,Cisco CCNA,38,12,21,8,6932
Erika Lawson,Catherineberg,Cybersecurity Specialist,Ruby,Google Cloud Engineer,36,13,107,8,6968
Peter Castro,North Patriciaborough,Cybersecurity Specialist,Go,Oracle Certified Professional,47,21,11,8,6471
James Griffin,West Michael,Mobile Developer,Python,AWS Certified Solutions Architect,39,0,62,3,4099
Arthur Brown,Port Lindastad,AI/ML Engineer,C#,Cisco CCNA,36,3,133,10,7752
Scott Jackson,North William,AI/ML Engineer,JavaScript,AWS Certified Developer,42,8,23,1,2300
Ms. Deborah Curtis,Samuelmouth,Frontend Developer,C#,CompTIA Security+,52,20,18,6,4307
Hunter Rogers,Lynchland,AI/ML Engineer,PHP,Google Cloud Engineer,47,1,146,7,2852
Kenneth Ochoa,Levihaven,QA Tester,Go,Certified Ethical Hacker,53,4,26,6,6627
Suzanne Byrd,Karenstad,Backend Developer,PHP,Microsoft Azure Fundamentals,52,13,119,4,7545
Luke Pratt,New Loriland,Cybersecurity Specialist,Python,Certified Ethical Hacker,22,2,26,8,3315
Sherry Smith,North Brandi,Mobile Developer,C#,Certified Ethical Hacker,52,32,75,2,2404
Kathryn Barnes,Bowenville,Mobile Developer,Java,Google Cloud Engineer,22,1,7,4,1162
Julie Gregory,Williamside,DevOps Engineer,Python,PMI-ACP,58,37,34,2,6406
David Smith,Lake Carlosborough,Cloud Architect,Kotlin,Certified Ethical Hacker,23,0,105,6,6559
Margaret Bates,North Ashleyside,Frontend Developer,Go,Google Cloud Engineer,49,10,124,4,6886
Jason Miller,Anthonyside,Cloud Architect,Ruby,Cisco CCNA,26,6,149,10,4023
Emily Rich,Dennisbury,Cloud Architect,Go,AWS Certified Solutions Architect,29,2,119,10,4524
Anna Brooks,Jordantown,Backend Developer,Kotlin,PMI-ACP,52,21,116,4,5911
Tiffany King,West Thomashaven,Data Scientist,PHP,Cisco CCNA,40,11,0,5,2471
